Building SF,Year Built,Building Tax Expenses,Coverage,Improvement Ratio,Distance_to_Nearest_Port,Latitude,Longitude,distance_public_transport,distance_to_highway,distance_to_nearest_airport,distance_to_nearest_rail,distance_to_nearest_dc,distance_to_residential,Market Asking Rent Growth,Vacancy Rate,Sales Volume Transactions,Market Cap Rate,Under Construction SF,Net Absorption SF,Population,Industrial Employment,Under Construction SF Growth,Population Growth,Industrial Employment Growth,Secondary Type,Building Class,Sale Quarter,Sale Price
9621,1972.0,35982.54,0.416728028760774,83.16,16.6727750458454,33.766705,-117.926598,0.3499402334999576,0.0502223826884338,7.105839044518958,17.260330971491932,23.626992106459003,0.2664681206543111,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Warehouse,C,2020Q1,1321163.0
2500,2001.0,6425.0,1.0,67.04,22.307830555570387,37.4773734,-122.2107729,0.1172509602640174,0.5296634734145516,13.559040785487673,22.98089941027908,11.484155282582597,0.1912343803294761,0.01,0.049,23.0,0.051,2803422.0,-691983.0,1643102.0,87510.0,-0.0011384171290138223,-2.6349925308493118e-05,2.5662763788008025e-05,Manufacturing,C,2020Q1,733863.0
2338,2001.0,7317.94,0.9352,67.04,22.31231399280898,37.4772979,-122.2108448,0.1138646680413952,0.5291757151620632,13.560167532370228,22.9852535227592,11.490640588291043,0.1962764523599653,0.01,0.049,23.0,0.051,2803422.0,-691983.0,1643102.0,87510.0,-0.0011384171290138223,-2.6349925308493118e-05,2.5662763788008025e-05,Manufacturing,C,2020Q1,686305.0
88000,1979.0,248160.0,0.45395924684034,45.21,38.73406621233597,34.289418,-118.417616,0.2357726445151373,0.3776660883298327,7.164125524747443,19.94965337005096,23.36635294678228,0.3013101768772704,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Warehouse,C,2020Q1,19775000.0
62565,1999.0,171428.1,0.315669179305543,74.07,24.3593445046687,38.232293,-122.5900444,0.2800155992086369,1.2618875455483816,40.594836509305935,23.88657887920419,34.260698496830976,0.3217658910617365,0.011000000000000001,0.045,24.0,0.062,337976.0,-19843.0,489590.0,41082.0,0.00047714703767080867,-1.2708761293560577e-05,8.989095195991669e-05,Warehouse,C,2020Q1,14750000.0
22237,2006.0,138314.13999999998,0.580141917979756,70.0,38.41021431726551,34.2342483,-118.5658073,0.2810605917974011,2.667933729394922,12.187790095964315,23.54819621490959,25.25362910615521,0.2900764900151872,0.017,0.028999999999999998,225.0,0.05,5076206.0,-2986670.0,10031160.0,494737.0,-0.0021658518773335776,-1.4921138943774226e-05,-1.1286180385062795e-05,Manufacturing,B,2020Q1,10500000.0
91744,1983.0,189910.08,0.474359637239796,70.84,40.21633017554906,34.0629065,-117.6219083,1.0852189579737426,0.7809974198394429,1.2955585974779176,15.574841668698658,1.6632651101215077,0.2265919484096078,0.021,0.042,121.0,0.049,22027266.0,8104857.0,4593484.0,213701.0,-0.0004605282760264584,1.6024386547714987e-05,4.446428991093043e-05,Warehouse,B,2020Q1,9400000.0
42690,1985.0,87514.49999999999,0.2784154644823,83.46,10.534640960521978,33.743997,-118.033498,0.1151423161056774,1.214449640852282,8.480863404184811,12.304495317113616,20.459516295665196,0.5933133640636997,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Warehouse,B,2020Q1,7300000.0
9730,1990.0,36001.0,0.372283440465259,42.25,32.01436028780752,33.662559,-117.670467,0.086794252769383,0.8055387131694538,11.393212914391226,29.448269289747085,26.756603045926543,0.2698961105527264,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Warehouse,C,2020Q1,3259000.0
7437,1979.0,26326.98,0.427241914172459,82.55,21.879016962593777,33.7017697,-117.8409696,0.1087882750714838,0.7839875046876007,2.332802404254789,22.67108893694121,27.20780218363881,0.512166611626236,0.016,0.031,103.0,0.051,1024564.0,611536.0,3187916.0,266602.0,0.0013596968275773368,-7.590589926853575e-07,2.391283096335517e-05,Warehouse,C,2020Q1,2162025.0
